DWS,MP,PER,PLAYER_NAME
1.6,2569,26.5,Isaiah Thomas
2.7,2399,12.0,Marcus Smart
2.5,2335,14.9,Jae Crowder
2.7,2193,17.7,Al Horford
2.0,1835,14.4,Avery Bradley
2.1,1608,15.0,Amir Johnson
1.9,1538,15.3,Kelly Olynyk
1.3,1341,10.3,Jaylen Brown
1.4,1263,10.9,Terry Rozier
1.3,1232,9.3,Jonas Jerebko
0.4,538,11.9,Gerald Green
0.6,525,13.0,Tyler Zeller
0.2,220,10.0,James Young
0.2,141,9.8,Jordan Mickey
0.0,17,30.8,Demetrius Jackson
